model,dataset,n,p,lam,objective,errors,leaves,seconds,wall,status,size,iterations,binary_features,lb,ub,known_objective,known_certified,verdict
pygosdt_v1_flat,fico_binary,,,0.02,0.3440443637058992,3180.0,2.0,0.0086845000041648,,optimal,,,,,,0.344044,True,ok
pygosdt_v1_flat,fico_binary,,,0.01,0.3240443637058992,3180.0,2.0,0.282388792023994,,optimal,,,,,,0.324044,True,ok
pygosdt_v1_flat,fico_binary,,,0.005,0.308650922650349,3019.0,4.0,3.2000616670120507,,optimal,,,,,,0.308651,True,ok
pygosdt_v1_flat,compas_processed,,,0.1,0.411364187060819,3855.0,1.0,0.0129336250247433,,optimal,,,,,,0.411364,True,ok
pygosdt_v1_flat,compas_processed,,,0.05,0.3613641870608189,3855.0,1.0,30.0,,time,,,,,,0.361364,False,ok
pygosdt_v1_flat,compas_processed,,,0.02,0.3278604313060334,3564.0,2.0,30.0,,time,,,,,,0.32786,False,ok
pygosdt_v1_flat,compas_processed,,,0.01,0.3078604313060334,3564.0,2.0,30.0,,time,,,,,,0.30786,False,ok
pygosdt_v1_flat,compas_processed,,,0.005,0.2978604313060334,3564.0,2.0,30.0,,time,,,,,,0.29786,False,ok
v2_group_simsupport,chudi,77.0,2.0,0.1,0.464935064935065,5.0,4.0,0.003167666029185,0.057,optimal,103.0,60.0,46.0,0.464935064935065,0.464935064935065,0.464935,True,ok
v2_group_simsupport,chudi,77.0,2.0,0.05,0.25,0.0,5.0,0.0068661659606732,0.007,optimal,238.0,152.0,46.0,0.25,0.25,0.25,True,ok
v2_group_simsupport,chudi,77.0,2.0,0.02,0.1,0.0,5.0,0.0123710000189021,0.013,optimal,405.0,285.0,46.0,0.1,0.1,0.1,True,ok
v2_group_simsupport,chudi,77.0,2.0,0.01,0.05,0.0,5.0,0.0125244170194491,0.013,optimal,423.0,297.0,46.0,0.05,0.05,0.05,True,ok
v2_group_simsupport,chudi,77.0,2.0,0.005,0.025,0.0,5.0,0.0125806250143796,0.013,optimal,423.0,297.0,46.0,0.025,0.025,0.025,True,ok
v2_group_simsupport,monk_3,122.0,11.0,0.1,0.5213114754098361,27.0,3.0,0.0005556659889407,0.001,optimal,24.0,18.0,11.0,0.521311475409836,0.521311475409836,0.521311,True,ok
v2_group_simsupport,monk_3,122.0,11.0,0.05,0.3713114754098361,27.0,3.0,0.0027864999719895,0.004,optimal,151.0,104.0,11.0,0.3713114754098361,0.3713114754098361,0.371311,True,ok
v2_group_simsupport,monk_3,122.0,11.0,0.02,0.2429508196721311,15.0,6.0,0.0208019579877145,0.022,optimal,1001.0,808.0,11.0,0.2429508196721311,0.2429508196721311,0.242951,True,ok
